patent_id,title,year,inventor_count,company_count
10000042,Tearable polystyrene film laminate for packaging and pouch purposes,2018,2,1
10000043,Multilayer film for resealable packaging having improved resealing,2018,3,1
10000044,"Panel for making furnishings such as doors, boards, tables, furniture or the like",2018,3,1
10000045,"Multilayer tube for fuel transportation, fuel pump module provided with same, use of same, and use of fuel pump module",2018,1,1
10000046,Methods for creating thick laminate structures,2018,1,1
10000047,Method for manufacturing curved liquid crystal display panel,2018,1,1
10000048,Taping tool having improved tape advance,2018,4,1
10000049,Methods and apparatus for applying protective films,2018,2,1
10000050,"Method for the manufacture of a fibre composite component, a reinforcement element and also a fibre composite component",2018,1,1
10000051,System and method for removing three-dimensional printed parts from a platen using inductive heating and gravity,2018,2,1
10000052,Methods for rejuvenating an imaging member of an ink-based digital printing system,2018,2,1
10000053,Web displacer for a printing unit,2018,4,1
10000054,"Sheet-processing machine having a sheet-guiding drum, and method for producing a gripper system",2018,4,1
10000055,Method for operating a printing press,2018,3,1
10000056,Screen printing apparatus and paste kneading method,2018,1,1
10000057,Controlling nozzles in a print head,2018,1,1
10000058,"Liquid ejecting apparatus, drive circuit, and integrated circuit",2018,1,1
10000059,Printing apparatus and transmission cable,2018,1,1
10000060,Liquid ejecting head and liquid ejecting apparatus,2018,3,1
10000061,"Piezoelectric device, liquid ejecting head, and liquid ejecting apparatus",2018,3,1
10000062,Liquid ejecting apparatus,2018,3,1
10000063,Liquid containing member,2018,1,1
10000064,Cartridge having contact parts for fastening cartridge to holder,2018,4,1
10000065,Inkjet printing system having dynamically controlled ink reservoir,2018,4,1
10000066,"Liquid discharge head, liquid discharge device, and liquid discharge apparatus",2018,1,1
10000067,"Ink, inkjet recording method, and inkjet recorded matter",2018,2,1
10000068,Multi-drop inkjet printing apparatus,2018,4,1
10000069,Thermal transfer printer,2018,2,1
10000070,Printer and printer control method,2018,4,1
10000071,"Ribbon feeding apparatus, and tape printing apparatus equipped with the same",2018,3,1
10000072,Printer and printing jig,2018,4,1
10000073,Apparatus and method for printing on a curved glass surface,2018,4,1
10000074,Writing to an electronic imaging substate,2018,4,1
10000075,Multilayer imaging with a high-gloss clear ink layer,2018,2,1
10000076,Drying device and inkjet printer system including drying device,2018,2,1
10000078,Printer apparatus,2018,1,1
10000079,Printing device including holder supporting platen roller through bearings,2018,2,1
10000080,Random wave mask generation,2018,2,1
10000081,Transfer sheet,2018,1,1
10000082,Stamp with built-in leveling feature,2018,3,0
10000083,Thermosensitive recording medium,2018,3,1
10000084,Ink set and recording method,2018,1,1
10000085,Device and method for transferring flowable printing substances onto a printing material,2018,4,0
10000086,Binding device,2018,4,1
10000087,Method for detachable poster hanging and magnetic poster holder device,2018,4,1
10000088,Writing instrument and ink cartridge,2018,4,1
10000089,Multi-color marker,2018,3,0
10000090,Pneumatic radial tire for passenger vehicle,2018,1,1
10000091,Tire comprising a tread made up of several elastomeric compounds,2018,3,0
10000092,Pneumatic tire,2018,1,1
10000093,Tread protection device,2018,2,0
10000094,Heavy duty pneumatic tire,2018,2,1
10000095,Pneumatic tire with dimples on one or both sidewall outer surfaces,2018,3,1
10000096,Pneumatic tire,2018,2,1
10000097,Electrostatic energy generator using tire cord fabric,2018,1,1
10000098,"Tire pressure measurement device, an integrated circuit, a printed circuit board, a method and a computer program for a vehicle to receive data",2018,4,1
10000099,Tire pressure monitoring unit having a two-component housing,2018,4,1
10000100,Piezoelectric based system and method for determining tire load,2018,3,1
10000101,Machine for fitting and removing a tyre and method for operating the machine,2018,4,1
10000102,Tunable compact spring aid,2018,1,1
